t,x,y
0,0,0
0.1,3.53553,3.53553
0.2,7.07107,6.97297
0.3,10.6066,10.3123
0.4,14.1421,13.5535
0.5,17.6777,16.6967
0.6,21.2132,19.7417
0.7,24.7487,22.6886
0.8,28.2843,25.5375
0.9,31.8198,28.2882
1,35.3553,30.9408
1.1,38.8909,33.4954
1.2,42.4264,35.9518
1.3,45.9619,38.3101
1.4,49.4975,40.5704
1.5,53.033,42.7325
1.6,56.5685,44.7965
1.7,60.1041,46.7625
1.8,63.6396,48.6303
1.9,67.1751,50.4
2,70.7107,52.0717
2.1,74.2462,53.6452
2.2,77.7817,55.1206
2.3,81.3173,56.498
2.4,84.8528,57.7772
2.5,88.3883,58.9583
2.6,91.9239,60.0414
2.7,95.4594,61.0263
2.8,98.9949,61.9131
2.9,102.53,62.7019
3,106.066,63.3925
3.1,109.602,63.9851
3.2,113.137,64.4795
3.3,116.673,64.8758
3.4,120.208,65.1741
3.5,123.744,65.3742
3.6,127.279,65.4762
3.7,130.815,65.4802
3.8,134.35,65.386
3.9,137.886,65.1937
4,141.421,64.9034
4.1,144.957,64.5149
4.2,148.492,64.0283
4.3,152.028,63.4437
4.4,155.563,62.7609
4.5,159.099,61.98
4.6,162.635,61.1011
4.7,166.17,60.124
4.8,169.706,59.0488
4.9,173.241,57.8756
5,176.777,56.6042
5.1,180.312,55.2347
5.2,183.848,53.7672
5.3,187.383,52.2015
5.4,190.919,50.5377
5.5,194.454,48.7759
5.6,197.99,46.9159
5.7,201.525,44.9578
5.8,205.061,42.9017
5.9,208.597,40.7474
6,212.132,38.495
6.1,215.668,36.1446
6.2,219.203,33.696
6.3,222.739,31.1493
6.4,226.274,28.5046
6.5,229.81,25.7617
6.6,233.345,22.9207
6.7,236.881,19.9817
6.8,240.416,16.9445
6.9,243.952,13.8092
7,247.487,10.5759
7.1,251.023,7.24441
7.2,254.558,3.81484
7.3,258.094,0.287175
